vse_id,name,zip_code,city
102890,Genossenschaft Energie Fischingen,8374,Dussnang
102900,Industrielle Betriebe Interlaken AG,3800,Interlaken
102910,Elektrizitätsversorgung Brügg,2555,Brügg BE
102920,Elektrizitätswerke des Kantons Zürich - EKZ,8002,Zürich
102930,Elektrizitätswerk Vals,7132,Vals
102940,Kraftwerk Bäch AG,8807,Freienbach
102950,Energie Grüningen AG,8627,Grüningen
102960,Werke am Zürichsee AG,8700,Küsnacht
102970,Gemeindewerke Horgen,8810,Horgen
102980,Emmenhof Energie AG,4552,Derendingen
102990,Elektrizitätswerk Andelfingen,8450,Andelfingen
103000,SWG,2540,Grenchen
103010,EWK Herzogenbuchsee AG,3360,Herzogenbuchsee
103020,Gemeindewerk Beckenried,6375,Beckenried
103030,tba energie ag,4663,Aarburg
103040,Elektrizitäts-Genossenschaft Siggenthal,5415,Nussbaumen
103050,Elektra Gaiserwald,9030,Abtwil
103060,Elektrizitätswerk Schmerikon AG,8716,Schmerikon
103070,Kraftwerk Feusisberg AG,8807,Freienbach
103080,Genossenschaft Elektrizitäts- und Wasserwerk Dozwil,8582,Dozwil
103090,BKW Energie AG,3013,Bern
103100,Kraftwerk Schaffhausen AG,8200,Schaffhausen
103110,EGH Elektro - Genossenschaft Hünenberg,6331,Hünenberg
103120,Kraftwerk Augst AG,4302,Augst
103130,FMV SA,1950,Sion
103140,Elektrizitätsversorgung Tübach,9327,Tübach
103150,Verband Schweizerischer Elektrizitätsunternehmen VSE,5000,Aarau
103160,Kraftwerk Ferrera AG,7742,Poschiavo
103170,SEDRE SA,1934,Le Châble VS
103180,Innobas AG,8890,Flums
103190,Elektrizitätswerk Urnäsch AG,9107,Urnäsch
103200,IBC Energie Wasser Chur,7000,Chur
103210,Elektrizitätsversorgung Oberdiessbach,3672,Oberdiessbach
103220,Elektra Ins,3232,Ins
103230,Société des Forces Motrices du Châtelot SA (SFMC),1763,Granges-Paccot
103240,Forces Motrices de Conches S.A.,1700,Fribourg
103250,Elektrizitätswerk der Gemeinde Lengwil,8574,Lengwil
103260,Genossenschaft EW Romanshorn,8590,Romanshorn
103270,Technische Betriebe Birmenstorf,5413,Birmenstorf AG
103280,RELL AG,3952,Susten
103290,Bas-Valais Energie SA,1110,Morges
103300,Services industriels de Delémont,2800,Delémont
103310,Commune de Boudevilliers,2043,Boudevilliers
103320,Elektra-Genossenschaft Rottenschwil-Werd,8919,Rottenschwil
103330,Elektrizitätsversorgung Eggenwil,5445,Eggenwil
103340,Elektrizität Wasser Neuenhof ewn,5401,Baden
103350,Thurplus,8500,Frauenfeld
103360,St. Gallisch-Appenzellische Kraftwerke AG,9000,St. Gallen
103370,Elektra Oberegg,9413,Oberegg
103380,Administration Communale Bourg-Saint-Pierre,1946,Bourg-St-Pierre
103390,Gemeindebetriebe Brienz,3855,Brienz BE
103400,Elektrizitätsversorgung Innerthal (EVI),8858,Innerthal
