Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Kleinandelfingen,8451,0,Kleinandelfingen,33,ZH,693579.674594724,272835.53701447,de
Alten,8453,0,Kleinandelfingen,33,ZH,690907.978156536,272782.309622513,de
Oerlingen,8461,0,Kleinandelfingen,33,ZH,693029.831901986,275546.472649296,de
Nohl,8212,4,Laufen-Uhwiesen,34,ZH,687812.095606537,280577.538230445,de
Uhwiesen,8248,0,Laufen-Uhwiesen,34,ZH,689802.09839464,280733.639317489,de
Dachsen,8447,0,Laufen-Uhwiesen,34,ZH,688230.501640269,281212.341483522,de
Marthalen,8460,0,Marthalen,35,ZH,690935.112201296,275649.627776705,de
Ellikon am Rhein,8464,0,Marthalen,35,ZH,687134.001897471,273399.242776504,de
Trüllikon,8466,0,Ossingen,37,ZH,694051.464772222,275700.533194631,de
Ossingen,8475,0,Ossingen,37,ZH,696776.386862307,274089.474173892,de
Rheinau,8462,0,Rheinau,38,ZH,687520.08458371,277681.738297108,de
Ellikon am Rhein,8464,0,Rheinau,38,ZH,687986.183414701,273199.970015503,de
Thalheim an der Thur,8478,0,Thalheim an der Thur,39,ZH,698982.997863982,270637.840416463,de
Rudolfingen,8465,0,Trüllikon,40,ZH,692788.260039661,277363.960092605,de
Wildensbuch,8465,1,Trüllikon,40,ZH,692955.013887237,278630.988184499,de
Trüllikon,8466,0,Trüllikon,40,ZH,694208.641946648,277042.611775663,de
Truttikon,8467,0,Truttikon,41,ZH,696796.652036869,276290.444581378,de
Volken,8459,0,Volken,43,ZH,689564.862531608,269805.219827733,de
Bülach,8180,0,Bachenbülach,51,ZH,684805.840208788,262781.471340621,de
Bachenbülach,8184,0,Bachenbülach,51,ZH,683461.21601683,262012.950415246,de
Bassersdorf,8303,0,Bassersdorf,52,ZH,689694.065036704,255514.679004538,de
Bülach,8180,0,Bülach,53,ZH,683020.754790782,263508.105474212,de
Glattfelden,8192,0,Bülach,53,ZH,681742.871148047,267043.756207777,de
Dietlikon,8305,0,Dietlikon,54,ZH,688816.078325354,253413.157416216,de
Dübendorf,8600,0,Dietlikon,54,ZH,689511.431482376,251504.200627878,de
Eglisau,8193,0,Eglisau,55,ZH,681814.532713996,269952.981579484,de
Rafz,8197,0,Eglisau,55,ZH,682963.039952417,271746.530178144,de
Embrach,8424,0,Embrach,56,ZH,687140.422443195,261805.809196073,de
Freienstein,8427,2,Freienstein-Teufen,57,ZH,686760.414103585,265290.353880009,de
Teufen ZH,8428,0,Freienstein-Teufen,57,ZH,684965.679445116,267185.330706387,de
Bülach,8180,0,Glattfelden,58,ZH,682032.095125642,267378.116700402,de
Glattfelden,8192,0,Glattfelden,58,ZH,679800.823391485,268105.000330967,de
Zweidlen,8192,1,Glattfelden,58,ZH,677368.335161141,268307.674553484,de
Eglisau,8193,0,Glattfelden,58,ZH,679524.825511677,270333.552687814,de
Hochfelden,8182,0,Hochfelden,59,ZH,681098.606031092,264180.559915922,de
Glattfelden,8192,0,Hochfelden,59,ZH,679863.291801947,265946.871992817,de
Höri,8181,0,Höri,60,ZH,680593.420915602,262401.783452071,de
Hüntwangen,8194,0,Hüntwangen,61,ZH,679292.346978456,272172.534954533,de
Kloten,8302,0,Kloten,62,ZH,686402.371285126,256379.948358387,de
Nürensdorf,8309,0,Kloten,62,ZH,689661.14345469,257613.350893581,de
Lufingen,8426,0,Lufingen,63,ZH,687041.393677373,260600.251337893,de
Nürensdorf,8309,0,Nürensdorf,64,ZH,691299.267902862,255947.033396369,de
Oberembrach,8425,0,Oberembrach,65,ZH,688836.860886769,260294.152861657,de
Zürich,8052,0,Opfikon,66,ZH,684772.778133428,252454.595830008,de
Glattbrugg,8152,0,Opfikon,66,ZH,685212.062021678,254283.957367174,de
Opfikon,8152,1,Opfikon,66,ZH,685911.333363672,254113.531191579,de
Glattpark (Opfikon),8152,2,Opfikon,66,ZH,684737.640805302,253099.717079612,de
Rafz,8197,0,Rafz,67,ZH,682426.965367476,274321.662988491,de
Rorbas,8427,3,Rorbas,68,ZH,685807.437092659,264872.221052417,de
Teufen ZH,8428,0,Rorbas,68,ZH,685149.038642659,266445.216788881,de
Wallisellen,8304,0,Wallisellen,69,ZH,687027.367340501,251957.473425356,de
Wasterkingen,8195,0,Wasterkingen,70,ZH,677773.200610061,271560.430710785,de
Wil ZH,8196,0,Wasterkingen,70,ZH,678176.255672667,273535.458313039,de
Wil ZH,8196,0,Wil (ZH),71,ZH,680077.066140615,272987.514788884,de
Rafz,8197,0,Wil (ZH),71,ZH,682537.768178625,271914.361869683,de
Bülach,8180,0,Winkel,72,ZH,685077.649069321,262421.203299585,de
Winkel,8185,0,Winkel,72,ZH,684084.958617035,260790.997964881,de
Bachs,8164,0,Bachs,81,ZH,675342.690098446,264293.464762112,de
Boppelsen,8113,0,Boppelsen,82,ZH,672670.315969635,258197.132612734,de
Regensberg,8158,0,Boppelsen,82,ZH,672661.916531639,259416.506938407,de
Buchs ZH,8107,0,Buchs (ZH),83,ZH,675365.432073869,256927.366568176,de
Dällikon,8108,0,Dällikon,84,ZH,675487.107079578,254829.604253063,de
Dänikon ZH,8114,0,Dänikon,85,ZH,672915.961903033,255465.791122277,de
Dielsdorf,8157,0,Dielsdorf,86,ZH,676492.275114466,259763.978579031,de
Hüttikon,8115,0,Hüttikon,87,ZH,671540.375458649,255465.150773573,de
Steinmaur,8162,0,Neerach,88,ZH,676706.506738834,262729.304536691,de
Bachs,8164,0,Neerach,88,ZH,677023.744405107,263070.599584915,de
Neerach,8173,0,Neerach,88,ZH,678029.373855277,263041.422149045,de
Stadel b. Niederglatt,8174,0,Neerach,88,ZH,677977.897933401,263866.165741015,de
Niederhasli,8155,0,Niederglatt,89,ZH,678500.907306863,260577.199027927,de
Niederglatt ZH,8172,0,Niederglatt,89,ZH,680252.598911288,260177.620684291,de
Niederhasli,8155,0,Niederhasli,90,ZH,678775.307701653,259586.369384119,de
Nassenwil,8155,1,Niederhasli,90,ZH,677869.323510739,257732.702044611,de
Oberhasli,8156,0,Niederhasli,90,ZH,679891.326184329,257721.524369365,de
Niederweningen,8166,0,Niederweningen,91,ZH,670092.126795841,261902.88305288,de
Oberglatt ZH,8154,0,Oberglatt,92,ZH,681566.169638397,258991.126668664,de
Siglistorf,5462,0,Oberweningen,93,ZH,672453.775818162,264539.768150624,de
Oberweningen,8165,2,Oberweningen,93,ZH,672984.133914638,261896.907921175,de
Buchs ZH,8107,0,Otelfingen,94,ZH,673518.104009956,256545.968051985,de
Otelfingen,8112,0,Otelfingen,94,ZH,671516.025434424,257223.637047229,de
Regensberg,8158,0,Regensberg,95,ZH,675382.695197312,259633.849171101,de
Regensdorf,8105,0,Regensdorf,96,ZH,677476.990065257,253827.189200273,de
Watt,8105,2,Regensdorf,96,ZH,678644.215836292,255191.17071042,de
Adlikon b. Regensdorf,8106,2,Regensdorf,96,ZH,677520.267108536,255768.49407783,de
Zürich,8052,0,Rümlang,97,ZH,683142.356421889,254117.460768517,de
Glattbrugg,8152,0,Rümlang,97,ZH,684192.293143499,254236.275799447,de
Rümlang,8153,0,Rümlang,97,ZH,682507.394773261,256231.124816599,de
Schleinikon,8165,3,Schleinikon,98,ZH,671797.322368201,261250.784526309,de
Schöfflisdorf,8165,0,Schöfflisdorf,99,ZH,673706.430277904,261493.413528893,de
